# File: gaia_occupations.csv
# Description: GAIA scores for 923 US occupations (O*NET-SOC 2018 codes).
#   Columns: O*NET-SOC Code, Title, dv_rating_alpha/beta/gamma,
#   human_rating_alpha/beta/gamma, sml_score, group,
#   aei_task_success, aei_autonomy_pct, aei_work_pct, gaia_e
# Updated: May 2026
#
# GAIA — Global AI Adoption Index
# © 2026 Leila Aghabarari. Licensed under CC BY 4.0.
# https://creativecommons.org/licenses/by/4.0/
#
# Citation (APA):
#   Aghabarari, L. (2026). GAIA — Global AI Adoption Index (Version 1.0).
#   Zenodo. https://doi.org/10.5281/zenodo.20320112
#
# Citation (BibTeX):
#   @misc{{aghabarari2026gaia,
#     author    = {{Aghabarari, Leila}},
#     title     = {{{{GAIA}}: {{G}}lobal {{AI}} {{A}}doption {{I}}ndex}},
#     year      = {{2026}},
#     version   = {{1.0}},
#     publisher = {{Zenodo}},
#     doi       = {{10.5281/zenodo.20320112}},
#     url       = {{https://doi.org/10.5281/zenodo.20320112}}
#   }}
#
# Underlying sources (must also be cited when used):
#   Anthropic Economic Index — Anthropic (2025), CC BY 4.0
#     https://huggingface.co/datasets/Anthropic/EconomicIndex
#   Eloundou et al. (2024) — Science 384(6702), DOI 10.1126/science.adj0998
#   Brynjolfsson, Mitchell & Rock (2018) — NBER WP 24196, CC BY 4.0
#     https://doi.org/10.3386/w24196
#
# Website: https://gaiaindex.org   |   Contact: aghabarari.leila@gmail.com
# Disclaimer: Views are the author's own and do not represent the IFC/World Bank.
O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,sml_score,group,aei_task_success,aei_autonomy_pct,aei_work_pct,gaia_e,tot_emp,a_mean,a_median
17-2112.02,Validation Engineers,50.0,70.2,90.5,28.6,47.6,66.7,,Architecture & Engineering,71.4,60.5,74.3,0.702,350230,107900,101140
17-2112.03,Manufacturing Engineers,4.3,47.9,91.5,25.5,47.9,70.2,,Architecture & Engineering,63.9,64.2,84.4,0.479,350230,107900,101140
17-2121.00,Marine Engineers and Naval Architects,10.5,42.1,73.7,26.3,40.4,54.4,,Architecture & Engineering,65.4,67.0,67.6,0.421,8440,116680,105670
17-2131.00,Materials Engineers,14.6,48.8,82.9,14.6,31.7,48.8,52.5,Architecture & Engineering,,61.8,,0.3818,22770,116380,108310
17-2141.00,Mechanical Engineers,2.3,45.3,88.4,18.6,37.2,55.8,60.5,Architecture & Engineering,79.4,63.5,64.0,0.4568,286760,110080,102320
17-2141.01,Fuel Cell Engineers,23.5,48.0,72.5,29.4,49.0,68.6,64.4,Architecture & Engineering,79.3,64.5,72.4,0.5154,286760,110080,102320
17-2141.02,Automotive Engineers,36.0,66.0,96.0,44.0,64.0,84.0,65.0,Architecture & Engineering,68.2,64.5,86.2,0.6124,286760,110080,102320
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",11.1,48.1,85.2,40.7,50.0,59.3,61.3,Architecture & Engineering,,,,0.4801,6770,108940,101020
17-2161.00,Nuclear Engineers,25.0,55.0,85.0,25.0,47.5,70.0,54.4,Architecture & Engineering,,,,0.4347,14740,134980,127520
17-2171.00,Petroleum Engineers,16.7,52.8,88.9,8.3,43.1,77.8,56.9,Architecture & Engineering,,,,0.4526,18970,153560,141280
17-2199.03,"Energy Engineers, Except Wind and Solar",9.8,54.9,100.0,24.4,50.0,75.6,66.9,Architecture & Engineering,79.0,64.0,36.4,0.5789,150750,121720,117750
17-2199.05,Mechatronics Engineers,18.4,52.6,86.8,0.0,30.3,60.5,61.7,Architecture & Engineering,64.7,61.8,70.0,0.5072,150750,121720,117750
17-2199.06,Microsystems Engineers,23.1,51.3,79.5,30.8,52.6,74.4,62.5,Architecture & Engineering,76.2,66.0,56.2,0.51,150750,121720,117750
17-2199.07,Photonics Engineers,20.0,47.8,75.6,13.3,28.9,44.4,64.8,Architecture & Engineering,69.7,65.0,48.7,0.5191,150750,121720,117750
17-2199.08,Robotics Engineers,40.9,59.1,77.3,22.7,47.7,72.7,55.6,Architecture & Engineering,68.4,69.5,45.9,0.4691,150750,121720,117750
17-2199.09,Nanosystems Engineers,27.3,59.1,90.9,18.2,48.9,79.5,61.3,Architecture & Engineering,66.4,63.7,62.4,0.5351,150750,121720,117750
17-2199.10,Wind Energy Engineers,10.5,47.4,84.2,31.6,52.6,73.7,58.8,Architecture & Engineering,,,,0.4476,150750,121720,117750
17-2199.11,Solar Energy Systems Engineers,8.0,46.0,84.0,24.0,46.0,68.0,61.3,Architecture & Engineering,,,,0.4696,150750,121720,117750
17-3011.00,Architectural and Civil Drafters,12.0,54.0,96.0,18.0,52.0,86.0,,Architecture & Engineering,65.8,60.8,51.4,0.54,109550,68860,64280
17-3012.00,Electrical and Electronics Drafters,19.1,57.4,95.7,25.5,48.9,72.3,,Architecture & Engineering,60.4,52.2,64.1,0.574,20020,77960,73720
17-3013.00,Mechanical Drafters,6.9,50.0,93.1,6.9,46.6,86.2,65.0,Architecture & Engineering,,,,0.5324,39900,74040,68510
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,10.0,32.5,55.0,0.0,22.5,45.0,64.4,Architecture & Engineering,,,,0.4379,9060,86330,79830
17-3022.00,Civil Engineering Technologists and Technicians,18.2,59.1,100.0,27.3,47.7,68.2,,Architecture & Engineering,60.0,64.8,64.2,0.591,62130,68450,64200
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,18.9,40.6,62.3,9.4,33.0,56.6,,Architecture & Engineering,78.9,65.2,50.7,0.406,92710,78580,77180
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,17.1,35.4,53.7,9.8,23.2,36.6,57.8,Architecture & Engineering,68.8,67.0,56.9,0.376,14680,75710,70760
17-3024.01,Robotics Technicians,34.2,42.1,50.0,0.0,21.1,42.1,57.7,Architecture & Engineering,73.6,69.2,56.8,0.4084,14680,75710,70760
17-3025.00,Environmental Engineering Technologists and Technicians,10.5,40.8,71.1,23.7,43.4,63.2,57.6,Architecture & Engineering,62.5,56.2,53.8,0.4008,12500,63070,58890
17-3026.00,Industrial Engineering Technologists and Technicians,11.1,44.4,77.8,16.7,37.5,58.3,,Architecture & Engineering,81.1,60.5,94.7,0.444,73410,69780,64790
17-3026.01,Nanotechnology Engineering Technologists and Technicians,23.4,39.4,55.3,17.0,36.2,55.3,,Architecture & Engineering,87.1,56.5,89.4,0.394,73410,69780,64790
17-3027.00,Mechanical Engineering Technologists and Technicians,16.3,48.0,79.6,22.4,40.8,59.2,63.8,Architecture & Engineering,72.8,60.8,50.8,0.5085,37450,72450,68730
17-3027.01,Automotive Engineering Technicians,5.6,27.8,50.0,11.1,22.2,33.3,66.6,Architecture & Engineering,71.4,52.5,50.0,0.44,37450,72450,68730
17-3028.00,Calibration Technologists and Technicians,20.0,40.0,60.0,6.7,26.7,46.7,,Architecture & Engineering,,,,0.4,15320,71080,65040
17-3029.01,Non-Destructive Testing Specialists,0.0,29.3,58.6,0.0,27.6,55.2,69.2,Architecture & Engineering,76.9,58.8,,0.4775,64410,79740,77390
17-3029.08,Photonics Technicians,11.1,24.4,37.8,8.9,24.4,40.0,68.8,Architecture & Engineering,86.2,59.5,,0.4484,64410,79740,77390
17-3031.00,Surveying and Mapping Technicians,8.5,50.0,91.5,10.6,51.1,91.5,,Architecture & Engineering,,,,0.5,56720,56890,51940
19-1011.00,Animal Scientists,12.5,53.1,93.8,75.0,84.4,93.8,50.6,Life & Physical Sciences,79.8,63.0,66.7,0.3813,2470,104970,79120
19-1012.00,Food Scientists and Technologists,0.0,34.6,69.2,23.1,50.0,76.9,62.8,Life & Physical Sciences,80.4,61.0,,0.43,14370,92190,85310
19-1013.00,Soil and Plant Scientists,0.0,48.9,97.8,43.5,63.0,82.6,61.5,Life & Physical Sciences,82.4,66.8,13.8,0.4864,16600,83040,71410
19-1021.00,Biochemists and Biophysicists,13.6,45.5,77.3,20.5,44.3,68.2,59.8,Life & Physical Sciences,82.7,64.0,44.9,0.4497,34520,115570,103650
19-1022.00,Microbiologists,8.3,39.6,70.8,8.3,31.2,54.2,62.8,Life & Physical Sciences,82.5,60.5,21.0,0.455,19760,95200,87330
19-1023.00,Zoologists and Wildlife Biologists,9.5,45.2,81.0,28.6,52.4,76.2,57.5,Life & Physical Sciences,82.5,61.5,7.7,0.4216,16920,77920,72860
19-1029.01,Bioinformatics Scientists,42.4,71.2,100.0,15.2,54.5,93.9,66.3,Life & Physical Sciences,69.4,64.0,66.5,0.6534,59710,100440,93330
19-1029.02,Molecular and Cellular Biologists,17.1,48.8,80.5,19.5,43.9,68.3,59.8,Life & Physical Sciences,74.0,59.2,68.3,0.4662,59710,100440,93330
19-1029.03,Geneticists,20.9,51.2,81.4,18.6,47.7,76.7,55.4,Life & Physical Sciences,74.3,61.0,53.8,0.4273,59710,100440,93330
19-1029.04,Biologists,20.6,48.5,76.5,32.4,38.2,44.1,,Life & Physical Sciences,79.3,62.7,46.4,0.485,59710,100440,93330
19-1031.00,Conservation Scientists,0.0,43.2,86.4,27.1,55.1,83.1,,Life & Physical Sciences,79.5,59.2,97.4,0.432,25590,74310,67950
19-1031.02,Range Managers,0.0,37.1,74.2,22.6,40.3,58.1,,Life & Physical Sciences,,,,0.371,25590,74310,67950
19-1031.03,Park Naturalists,18.2,51.5,84.8,12.1,48.5,84.8,59.1,Life & Physical Sciences,93.8,53.0,,0.4716,25590,74310,67950
19-1032.00,Foresters,0.0,36.8,73.5,17.6,36.8,55.9,63.7,Life & Physical Sciences,,,,0.4514,9650,74670,70660
19-1041.00,Epidemiologists,0.0,44.2,88.5,34.6,55.8,76.9,,Life & Physical Sciences,85.1,61.8,32.6,0.442,11460,94160,83980
19-1042.00,"Medical Scientists, Except Epidemiologists",18.2,52.3,86.4,36.4,56.8,77.3,41.9,Life & Physical Sciences,84.0,58.2,43.4,0.2766,156300,112690,100590
19-2011.00,Astronomers,6.2,43.8,81.2,25.0,42.2,59.4,,Life & Physical Sciences,73.2,61.8,37.7,0.438,1560,134430,132170
19-2012.00,Physicists,54.5,75.0,95.5,50.0,63.6,77.3,53.1,Life & Physical Sciences,67.1,51.7,26.7,0.5197,21340,166000,166290
19-2021.00,Atmospheric and Space Scientists,17.4,56.5,95.7,34.8,60.9,87.0,72.2,Life & Physical Sciences,55.7,59.0,38.9,0.6482,8780,103980,97450
19-2031.00,Chemists,8.0,38.0,68.0,28.0,40.0,52.0,57.5,Life & Physical Sciences,77.7,61.0,39.6,0.3856,83250,95940,84150
19-2032.00,Materials Scientists,13.8,48.3,82.8,44.8,51.7,58.6,61.9,Life & Physical Sciences,72.4,61.3,51.1,0.488,8330,111410,104160
19-2041.00,"Environmental Scientists and Specialists, Including Health",3.2,50.0,96.8,48.4,72.6,96.8,,Life & Physical Sciences,61.6,59.8,51.1,0.5,84930,88640,80060
19-2041.01,Climate Change Policy Analysts,7.1,53.6,100.0,57.1,75.0,92.9,57.5,Life & Physical Sciences,64.4,58.5,48.3,0.4636,84930,88640,80060
19-2041.02,Environmental Restoration Planners,8.7,52.2,95.7,34.8,65.2,95.7,64.4,Life & Physical Sciences,,,,0.5364,84930,88640,80060
19-2041.03,Industrial Ecologists,5.9,52.9,100.0,45.6,71.3,97.1,61.0,Life & Physical Sciences,78.2,64.0,24.4,0.5006,84930,88640,80060
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",11.1,46.7,82.2,28.9,47.8,66.7,66.1,Life & Physical Sciences,63.7,57.0,51.0,0.5287,22510,111310,99240
19-2043.00,Hydrologists,12.5,50.0,87.5,29.2,53.1,77.1,63.8,Life & Physical Sciences,69.7,58.8,55.3,0.5185,5720,98130,92060
19-2099.01,Remote Sensing Scientists and Technologists,0.0,45.7,91.3,15.2,44.6,73.9,57.7,Life & Physical Sciences,58.8,52.2,36.4,0.4264,22580,123070,117960
19-3011.00,Economists,0.0,50.0,100.0,33.3,45.8,58.3,60.6,Life & Physical Sciences,66.5,62.5,36.4,0.4815,15880,130910,115440
19-3011.01,Environmental Economists,21.1,60.5,100.0,55.3,77.6,100.0,66.3,Life & Physical Sciences,67.7,60.5,34.4,0.6,15880,130910,115440
19-3022.00,Survey Researchers,25.0,62.5,100.0,75.0,84.4,93.8,,Life & Physical Sciences,56.3,56.0,58.3,0.625,7720,73470,63380
19-3032.00,Industrial-Organizational Psychologists,8.9,48.9,88.9,35.6,58.9,82.2,52.5,Life & Physical Sciences,82.5,63.5,73.0,0.3822,1050,134400,109840
19-3033.00,Clinical and Counseling Psychologists,9.3,37.0,64.8,33.3,50.9,68.5,,Life & Physical Sciences,79.5,66.2,33.3,0.37,72190,106850,95830
19-3034.00,School Psychologists,0.0,39.2,78.4,32.4,58.1,83.8,,Life & Physical Sciences,73.6,55.5,58.2,0.392,63830,93610,86930
19-3039.02,Neuropsychologists,7.1,46.4,85.7,21.4,28.6,35.7,,Life & Physical Sciences,90.1,64.0,,0.464,17790,111340,117580
19-3039.03,Clinical Neuropsychologists,5.6,44.4,83.3,22.2,27.8,33.3,,Life & Physical Sciences,95.5,71.5,,0.444,17790,111340,117580
19-3041.00,Sociologists,15.4,53.8,92.3,38.5,61.5,84.6,68.1,Life & Physical Sciences,70.1,65.0,46.5,0.5873,2950,111670,101690
19-3051.00,Urban and Regional Planners,0.0,47.7,95.5,27.3,58.0,88.6,53.8,Life & Physical Sciences,49.3,57.5,61.1,0.3913,43040,89730,83720
19-3091.00,Anthropologists and Archeologists,5.2,44.0,82.8,29.3,51.7,74.1,,Life & Physical Sciences,77.4,62.0,28.1,0.44,8070,71070,64910
19-3092.00,Geographers,16.7,50.0,83.3,8.3,37.5,66.7,,Life & Physical Sciences,75.9,62.0,39.4,0.5,1380,98160,97200
19-3093.00,Historians,10.5,47.4,84.2,31.6,50.0,68.4,57.7,Life & Physical Sciences,73.3,61.8,23.3,0.4349,3140,78470,74050
19-3094.00,Political Scientists,4.2,47.9,91.7,25.0,54.2,83.3,58.1,Life & Physical Sciences,74.6,63.2,59.0,0.442,5950,137600,139380
19-3099.01,Transportation Planners,9.3,52.3,95.3,37.2,66.3,95.3,62.1,Life & Physical Sciences,59.9,63.0,70.1,0.5104,36970,106440,100340
19-4012.00,Agricultural Technicians,19.4,31.9,44.4,11.1,16.7,22.2,,Life & Physical Sciences,52.2,56.8,36.9,0.319,14340,49680,46790
19-4012.01,Precision Agriculture Technicians,9.1,50.0,90.9,22.7,50.0,77.3,,Life & Physical Sciences,,56.8,,0.5,14340,49680,46790
19-4013.00,Food Science Technicians,28.6,35.7,42.9,10.7,28.6,46.4,,Life & Physical Sciences,77.8,58.5,43.5,0.357,14200,54400,49430
19-4021.00,Biological Technicians,20.0,41.7,63.3,6.7,26.7,46.7,60.6,Life & Physical Sciences,67.1,60.2,39.0,0.44,76190,58020,52000
19-4031.00,Chemical Technicians,14.3,39.3,64.3,28.6,39.3,50.0,,Life & Physical Sciences,69.7,60.2,46.3,0.393,55640,61300,57790
19-4042.00,"Environmental Science and Protection Technicians, Including Health",24.4,45.6,66.7,24.4,42.2,60.0,,Life & Physical Sciences,70.5,54.5,52.3,0.456,39390,56770,49490
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4.9,39.0,73.2,7.3,30.5,53.7,,Life & Physical Sciences,65.5,48.0,58.3,0.39,9710,58220,48390
19-4044.00,Hydrologic Technicians,18.8,50.0,81.2,25.0,53.1,81.2,,Life & Physical Sciences,,,,0.5,2940,64410,58570
19-4051.00,Nuclear Technicians,7.1,14.3,21.4,7.1,25.0,42.9,,Life & Physical Sciences,,,,0.143,5990,100730,104240
19-4051.02,Nuclear Monitoring Technicians,15.2,22.7,30.3,15.2,31.8,48.5,60.6,Life & Physical Sciences,81.8,55.8,,0.345,5990,100730,104240
19-4061.00,Social Science Research Assistants,42.4,66.7,90.9,39.4,62.1,84.8,70.0,Life & Physical Sciences,63.2,59.2,60.4,0.6738,32940,63560,58040
19-4071.00,Forest and Conservation Technicians,7.7,32.7,57.7,11.5,32.7,53.8,,Life & Physical Sciences,70.9,60.0,74.8,0.327,31080,56660,54310
19-4092.00,Forensic Science Technicians,6.5,38.7,71.0,6.5,19.4,32.3,62.9,Life & Physical Sciences,94.4,58.2,,0.4516,19450,75260,67440
19-4099.01,Quality Control Analysts,21.3,52.1,83.0,25.5,47.9,70.2,65.9,Life & Physical Sciences,73.0,63.5,64.1,0.5533,71400,64640,60130
19-4099.03,Remote Sensing Technicians,9.7,54.8,100.0,12.9,46.8,80.6,66.3,Life & Physical Sciences,68.5,59.8,54.3,0.5714,71400,64640,60130
19-5011.00,Occupational Health and Safety Specialists,4.8,33.3,61.9,28.6,35.7,42.9,,Life & Physical Sciences,81.2,56.2,74.2,0.333,128430,88660,83910
19-5012.00,Occupational Health and Safety Technicians,12.5,39.6,66.7,25.0,41.7,58.3,,Life & Physical Sciences,77.6,55.8,83.3,0.396,31450,63800,58440
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,8.9,20.0,31.1,17.8,28.9,40.0,60.3,Community & Social Service,86.7,66.2,19.2,0.328,,,
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",5.3,28.9,52.6,24.6,32.5,40.4,71.1,Community & Social Service,69.0,60.5,44.2,0.4975,342350,71520,65140
21-1013.00,Marriage and Family Therapists,7.4,11.1,14.8,18.5,27.8,37.0,58.3,Community & Social Service,81.7,67.5,28.8,0.2604,65870,72720,63780
21-1014.00,Mental Health Counselors,7.8,25.5,43.1,11.8,26.5,41.2,55.0,Community & Social Service,72.2,64.2,31.3,0.2942,,,
21-1015.00,Rehabilitation Counselors,6.5,35.5,64.5,25.8,46.8,67.7,60.3,Community & Social Service,75.0,54.2,87.5,0.4055,88930,51260,46110
21-1021.00,"Child, Family, and School Social Workers",5.7,24.3,42.9,17.1,30.0,42.9,63.1,Community & Social Service,86.6,59.2,,0.3819,382960,62920,58570
21-1022.00,Healthcare Social Workers,3.1,34.4,65.6,18.8,42.2,65.6,60.8,Community & Social Service,84.4,67.8,17.0,0.4058,185940,72030,68090
21-1023.00,Mental Health and Substance Abuse Social Workers,0.0,27.1,54.2,16.7,35.4,54.2,57.3,Community & Social Service,86.1,64.8,83.3,0.3288,125910,68290,60060
21-1091.00,Health Education Specialists,25.8,53.2,80.6,25.8,50.0,74.2,66.2,Community & Social Service,75.1,57.2,86.0,0.5623,65150,71700,63000
21-1092.00,Probation Officers and Correctional Treatment Specialists,15.8,39.5,63.2,28.9,44.7,60.5,64.1,Community & Social Service,,,,0.4695,86820,71530,64520
21-1093.00,Social and Human Service Assistants,21.4,39.3,57.1,28.6,37.5,46.4,66.3,Community & Social Service,79.8,58.8,,0.494,424220,47090,45120
21-1094.00,Community Health Workers,8.3,31.9,55.6,27.8,34.7,41.7,65.9,Community & Social Service,94.5,57.8,,0.4523,60730,55970,51030
21-2011.00,Clergy,19.0,33.3,47.6,19.0,23.8,28.6,69.1,Community & Social Service,84.9,61.5,50.3,0.4964,58080,67160,60820
21-2021.00,"Directors, Religious Activities and Education",15.2,43.9,72.7,30.3,45.5,60.6,61.9,Community & Social Service,78.2,60.8,57.2,0.466,21460,65040,54840
23-1011.00,Lawyers,0.0,42.5,85.0,15.0,47.5,80.0,57.3,Legal,75.7,56.8,47.3,0.4058,747750,182760,151160
23-1012.00,Judicial Law Clerks,13.8,51.7,89.7,0.0,44.8,89.7,60.0,Legal,69.5,52.2,86.1,0.483,13220,69850,60400
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",15.4,50.0,84.6,7.7,34.6,61.5,69.7,Legal,69.9,53.5,75.1,0.5868,16230,122620,115230
23-1022.00,"Arbitrators, Mediators, and Conciliators",9.7,50.0,90.3,9.7,37.1,64.5,48.8,Legal,71.3,58.0,55.8,0.3449,7860,91170,67710
23-1023.00,"Judges, Magistrate Judges, and Magistrates",0.0,41.7,83.3,5.6,25.0,44.4,57.5,Legal,65.5,54.2,80.6,0.4041,25580,143110,156210
23-2011.00,Paralegals and Legal Assistants,20.0,52.5,85.0,5.0,45.0,85.0,53.1,Legal,60.4,55.8,63.0,0.4072,367220,66510,61010
23-2093.00,"Title Examiners, Abstractors, and Searchers",21.4,57.1,92.9,25.0,55.4,85.7,64.4,Legal,77.3,38.7,81.8,0.5609,48170,59600,54980
25-1011.00,"Business Teachers, Postsecondary",18.2,48.9,79.5,18.2,42.0,65.9,,Education & Library,74.9,59.5,53.5,0.489,81780,113840,97270
25-1021.00,"Computer Science Teachers, Postsecondary",16.7,51.2,85.7,14.3,36.9,59.5,,Education & Library,75.7,58.8,51.9,0.512,36240,105830,96690
25-1022.00,"Mathematical Science Teachers, Postsecondary",29.7,54.1,78.4,18.9,43.2,67.6,69.4,Education & Library,76.3,59.5,53.7,0.6038,48820,92880,79350
25-1031.00,"Architecture Teachers, Postsecondary",19.5,48.8,78.0,22.0,42.7,63.4,,Education & Library,75.2,59.8,51.9,0.488,9120,110360,101480
25-1032.00,"Engineering Teachers, Postsecondary",14.3,50.0,85.7,21.4,41.7,61.9,,Education & Library,75.8,59.8,51.5,0.5,39910,119340,106120
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",22.2,50.0,77.8,44.4,58.9,73.3,55.6,Education & Library,75.9,60.2,51.6,0.4236,8700,97790,86350
25-1042.00,"Biological Science Teachers, Postsecondary",14.3,46.9,79.6,20.4,39.8,59.2,67.5,Education & Library,74.5,59.2,49.7,0.5458,53250,101340,83460
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",19.6,47.8,76.1,21.7,42.4,63.0,55.9,Education & Library,75.8,60.2,52.7,0.4161,1310,103780,100830
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",17.5,47.5,77.5,15.0,40.0,65.0,59.7,Education & Library,75.4,59.5,50.0,0.4586,11480,112950,101390
25-1052.00,"Chemistry Teachers, Postsecondary",17.6,43.1,68.6,23.5,40.2,56.9,,Education & Library,76.2,59.5,51.9,0.431,20390,103030,86220
25-1053.00,"Environmental Science Teachers, Postsecondary",26.1,52.2,78.3,19.6,42.4,65.2,68.1,Education & Library,75.3,59.2,51.2,0.5793,7130,100360,87710
25-1054.00,"Physics Teachers, Postsecondary",11.6,41.9,72.1,16.3,37.2,58.1,,Education & Library,76.3,59.0,49.2,0.419,13590,105460,97360
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",28.6,52.0,75.5,18.4,40.8,63.3,,Education & Library,76.1,60.0,50.0,0.52,5260,102530,95770
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",22.2,50.0,77.8,24.4,44.4,64.4,41.3,Education & Library,74.7,58.8,51.6,0.2581,11430,97350,84290
25-1063.00,"Economics Teachers, Postsecondary",14.6,47.6,80.5,22.0,43.9,65.9,60.3,Education & Library,75.9,59.2,51.0,0.466,12420,133140,119980
25-1064.00,"Geography Teachers, Postsecondary",18.2,47.7,77.3,25.0,46.6,68.2,58.1,Education & Library,75.9,59.2,51.0,0.441,3290,99020,86730
25-1065.00,"Political Science Teachers, Postsecondary",17.1,47.6,78.0,19.5,41.5,63.4,,Education & Library,75.9,59.2,51.0,0.476,17170,105160,94680
25-1066.00,"Psychology Teachers, Postsecondary",16.0,48.0,80.0,16.0,39.0,62.0,,Education & Library,76.3,60.2,47.9,0.48,41610,93530,80330
25-1067.00,"Sociology Teachers, Postsecondary",13.6,43.2,72.7,20.5,39.8,59.1,,Education & Library,75.9,59.2,51.0,0.432,12380,97270,82540
25-1071.00,"Health Specialties Teachers, Postsecondary",12.5,47.5,82.5,17.5,38.8,60.0,,Education & Library,76.1,59.0,49.4,0.475,229720,137900,105620
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",15.7,40.2,64.7,13.7,37.3,60.8,,Education & Library,75.6,59.5,52.3,0.402,74250,87090,79940
25-1081.00,"Education Teachers, Postsecondary",16.7,48.8,81.0,19.0,44.0,69.0,65.0,Education & Library,75.6,59.2,50.4,0.5264,59090,78500,72090
25-1082.00,"Library Science Teachers, Postsecondary",21.3,51.1,80.9,23.4,42.6,61.7,47.5,Education & Library,76.7,59.5,53.5,0.3354,4100,84320,78630
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",22.5,50.0,77.5,20.0,43.8,67.5,63.8,Education & Library,75.9,59.2,51.0,0.5185,13560,84820,71470
25-1112.00,"Law Teachers, Postsecondary",12.5,45.0,77.5,42.5,58.8,75.0,,Education & Library,76.0,59.5,51.0,0.45,22800,139950,126650
25-1113.00,"Social Work Teachers, Postsecondary",15.9,42.0,68.2,29.5,51.1,72.7,56.9,Education & Library,75.5,59.8,51.5,0.3986,13350,81880,76210
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",12.5,43.8,75.0,37.5,59.4,81.2,66.3,Education & Library,75.8,60.0,49.7,0.5164,97890,102240,80190
25-1122.00,"Communications Teachers, Postsecondary",12.5,42.5,72.5,32.5,57.5,82.5,,Education & Library,75.9,59.0,53.3,0.425,29260,90340,77800
25-1123.00,"English Language and Literature Teachers, Postsecondary",25.0,52.7,80.4,35.7,57.1,78.6,68.8,Education & Library,77.6,60.0,44.1,0.5899,59590,90400,78270
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",26.7,53.3,80.0,28.9,56.7,84.4,,Education & Library,77.3,58.8,51.0,0.533,21170,87670,77010
25-1125.00,"History Teachers, Postsecondary",22.2,51.1,80.0,35.6,58.9,82.2,47.5,Education & Library,76.0,60.0,49.3,0.3354,19860,93710,81500
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25.0,51.1,77.3,36.4,59.1,81.8,56.9,Education & Library,76.4,58.8,49.4,0.4442,20840,88210,78050
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",20.0,53.8,87.5,40.0,65.0,90.0,57.5,Education & Library,75.6,59.5,52.3,0.4646,2630,84450,77280
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",27.9,55.8,83.7,37.2,61.6,86.0,63.8,Education & Library,76.7,59.0,48.2,0.5475,12680,87980,75890
25-1194.00,"Career/Technical Education Teachers, Postsecondary",12.8,48.7,84.6,20.5,44.9,69.2,69.7,Education & Library,73.4,60.8,48.1,0.5803,111150,68710,61490
25-2011.00,"Preschool Teachers, Except Special Education",6.1,22.7,39.4,15.2,31.1,47.0,61.7,Education & Library,78.0,64.5,62.8,0.3577,445080,41450,37120
25-2012.00,"Kindergarten Teachers, Except Special Education",5.5,23.3,41.1,13.7,29.5,45.2,61.5,Education & Library,80.8,61.0,54.1,0.3584,114410,67020,61430
25-2021.00,"Elementary School Teachers, Except Special Education",5.4,31.1,56.8,13.5,31.1,48.6,67.5,Education & Library,76.5,59.2,54.2,0.4668,1393310,69790,62340
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",7.2,34.8,62.3,20.3,34.1,47.8,66.9,Education & Library,77.4,57.8,49.9,0.4784,620370,70040,62970
25-2023.00,"Career/Technical Education Teachers, Middle School",19.4,32.3,45.2,16.1,33.9,51.6,65.8,Education & Library,75.6,58.5,56.4,0.4532,14200,68690,63620
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",3.2,33.3,63.5,15.9,34.1,52.4,63.9,Education & Library,76.6,58.8,53.5,0.4362,1072540,73700,64580
25-2032.00,"Career/Technical Education Teachers, Secondary School",15.2,33.3,51.5,12.1,33.3,54.5,55.6,Education & Library,76.9,57.8,55.9,0.3401,104450,70550,63910
25-2051.00,"Special Education Teachers, Preschool",11.4,20.0,28.6,17.1,30.7,44.3,,Education & Library,70.4,62.0,68.1,0.2,28200,72610,62190
25-2055.00,"Special Education Teachers, Kindergarten",10.0,25.0,40.0,16.7,35.0,53.3,,Education & Library,68.4,63.0,55.4,0.25,,,
